source,review_rate,accepted_error
standard,0.0,0.034393601190476186
standard,0.05,0.028521671826625388
standard,0.1,0.022359283625730992
standard,0.2,0.023634453781512604
standard,0.3,0.008333333333333333
standard,0.4,0.009615384615384616
covertype,0.0,0.24854761904761905
covertype,0.05,0.2393734335839599
covertype,0.1,0.22743386243386243
covertype,0.2,0.2049702380952381
covertype,0.3,0.1848639455782313
covertype,0.4,0.16567460317460317
covertype,0.5,0.14857142857142858
black-box,0.0,0.0346479724702381
black-box,0.1,0.023433187292044768
black-box,0.2,0.0181320575105042
black-box,0.3,0.01664434523809524
