dataset,openml_name,openml_version,seed,method,top_quartile_error,error_auc,mean_score
Diabetes,diabetes,1,0,SEF conflict,0.17647058823529413,0.6764705882352942,0.26357400450751745
Diabetes,diabetes,1,0,Attribution entropy,0.17647058823529413,0.6530408773678963,0.7510973253612856
Diabetes,diabetes,1,0,Attribution Gini spread,0.17647058823529413,0.627617148554337,0.7190524835085285
Diabetes,diabetes,1,0,Low confidence,0.23529411764705882,0.6704885343968096,0.11897518151215421
Diabetes,diabetes,1,0,SEF-entropy rank correlation,0.2969271290605795,,
Diabetes,diabetes,1,1,SEF conflict,0.17647058823529413,0.5781101614434948,0.26143202711004254
Diabetes,diabetes,1,1,Attribution entropy,0.14705882352941177,0.5712250712250713,0.6990531783165096
Diabetes,diabetes,1,1,Attribution Gini spread,0.11764705882352941,0.5550807217473885,0.6907398637239177
Diabetes,diabetes,1,1,Low confidence,0.20588235294117646,0.6452991452991453,0.1339408765973955
Diabetes,diabetes,1,1,SEF-entropy rank correlation,0.06496518590359476,,
Diabetes,diabetes,1,2,SEF conflict,0.11764705882352941,0.5898109243697479,0.2995707710918062
Diabetes,diabetes,1,2,Attribution entropy,0.17647058823529413,0.592436974789916,0.7030239861561433
Diabetes,diabetes,1,2,Attribution Gini spread,0.17647058823529413,0.5987394957983193,0.6803478517480599
Diabetes,diabetes,1,2,Low confidence,0.20588235294117646,0.5262605042016807,0.11712017838848451
Diabetes,diabetes,1,2,SEF-entropy rank correlation,0.2320581309851142,,
Diabetes,diabetes,1,3,SEF conflict,0.08823529411764706,0.6128625472887768,0.2680126179075958
Diabetes,diabetes,1,3,Attribution entropy,0.08823529411764706,0.48612862547288777,0.7036369431295116
Diabetes,diabetes,1,3,Attribution Gini spread,0.029411764705882353,0.44829760403530894,0.6755837822833826
Diabetes,diabetes,1,3,Low confidence,0.17647058823529413,0.5863808322824716,0.13078095120879035
Diabetes,diabetes,1,3,SEF-entropy rank correlation,0.07605852606888651,,
Diabetes,diabetes,1,4,SEF conflict,0.17647058823529413,0.5703942075623492,0.2848551923495746
Diabetes,diabetes,1,4,Attribution entropy,0.20588235294117646,0.48632341110217214,0.6970176277450989
Diabetes,diabetes,1,4,Attribution Gini spread,0.17647058823529413,0.48390989541432017,0.6717285150721314
Diabetes,diabetes,1,4,Low confidence,0.11764705882352941,0.41069991954947704,0.11117615296479624
Diabetes,diabetes,1,4,SEF-entropy rank correlation,0.19530289727831432,,
Diabetes,diabetes,1,5,SEF conflict,0.23529411764705882,0.676043557168784,0.2957056536216268
Diabetes,diabetes,1,5,Attribution entropy,0.20588235294117646,0.6492740471869328,0.7303003369755897
Diabetes,diabetes,1,5,Attribution Gini spread,0.17647058823529413,0.6034482758620688,0.6965878658588754
Diabetes,diabetes,1,5,Low confidence,0.29411764705882354,0.6647005444646097,0.12659886852622212
Diabetes,diabetes,1,5,SEF-entropy rank correlation,0.20148765974051314,,
Diabetes,diabetes,1,6,SEF conflict,0.08823529411764706,0.6088,0.30167013371267487
Diabetes,diabetes,1,6,Attribution entropy,0.11764705882352941,0.5416,0.7345887400271833
Diabetes,diabetes,1,6,Attribution Gini spread,0.11764705882352941,0.5312,0.6989433373265214
Diabetes,diabetes,1,6,Low confidence,0.08823529411764706,0.4824,0.1377191314362594
Diabetes,diabetes,1,6,SEF-entropy rank correlation,0.11559360062432936,,
Diabetes,diabetes,1,7,SEF conflict,0.20588235294117646,0.6184782608695651,0.23072212953509583
Diabetes,diabetes,1,7,Attribution entropy,0.11764705882352941,0.4965217391304348,0.6571166980090932
Diabetes,diabetes,1,7,Attribution Gini spread,0.11764705882352941,0.47434782608695647,0.6608058367487651
Diabetes,diabetes,1,7,Low confidence,0.2647058823529412,0.62,0.11768962378782294
Diabetes,diabetes,1,7,SEF-entropy rank correlation,-0.0011121340912153168,,
Diabetes,diabetes,1,8,SEF conflict,0.20588235294117646,0.5849056603773586,0.3041836543890595
Diabetes,diabetes,1,8,Attribution entropy,0.3235294117647059,0.48243331164606384,0.6831327050509285
Diabetes,diabetes,1,8,Attribution Gini spread,0.17647058823529413,0.45608327911515945,0.6527011913092994
Diabetes,diabetes,1,8,Low confidence,0.20588235294117646,0.4690956408588159,0.08642571876018541
Diabetes,diabetes,1,8,SEF-entropy rank correlation,0.07418300653594771,,
Diabetes,diabetes,1,9,SEF conflict,0.20588235294117646,0.7118537200504413,0.2580532531698973
Diabetes,diabetes,1,9,Attribution entropy,0.17647058823529413,0.5958385876418664,0.7041915850926406
Diabetes,diabetes,1,9,Attribution Gini spread,0.14705882352941177,0.6015132408575032,0.6814765360030025
Diabetes,diabetes,1,9,Low confidence,0.17647058823529413,0.6292559899117277,0.13528911375028624
Diabetes,diabetes,1,9,SEF-entropy rank correlation,0.2235879426397425,,
Diabetes,diabetes,1,10,SEF conflict,0.08823529411764706,0.6257378984651711,0.29465030384867774
Diabetes,diabetes,1,10,Attribution entropy,0.08823529411764706,0.4787485242030696,0.731358558892117
Diabetes,diabetes,1,10,Attribution Gini spread,0.08823529411764706,0.475206611570248,0.6982057191368835
Diabetes,diabetes,1,10,Low confidence,0.17647058823529413,0.564935064935065,0.12851224780149315
Diabetes,diabetes,1,10,SEF-entropy rank correlation,0.12715344844405424,,
Diabetes,diabetes,1,11,SEF conflict,0.17647058823529413,0.64281210592686,0.21716671406379978
Diabetes,diabetes,1,11,Attribution entropy,0.11764705882352941,0.49810844892812106,0.652916078793646
Diabetes,diabetes,1,11,Attribution Gini spread,0.11764705882352941,0.4829760403530895,0.6404051527444828
