dataset,method,top_quartile_error,top_quartile_error_sd,error_auc,error_auc_sd,sef_entropy_spearman
Diabetes,SEF conflict,0.17705882352941177,0.048086762205264304,0.6397533152534775,0.05225742626780292,0.11874618259126675
Diabetes,Attribution entropy,0.15764705882352942,0.05470581781095729,0.5237639572609796,0.06877335756770173,0.11874618259126675
Diabetes,Attribution Gini spread,0.13823529411764707,0.04908958590566354,0.5047891296151141,0.07232572368228596,0.11874618259126675
Diabetes,Low confidence,0.18941176470588236,0.05386023650071284,0.5914612672306389,0.07986404383607848,0.11874618259126675
Heart disease,SEF conflict,0.1433333333333333,0.10246397519690482,0.729282085091311,0.13182617642859376,0.08292010421189752
Heart disease,Attribution entropy,0.03166666666666666,0.04729053349057429,0.38433253688279473,0.190672241990142,0.08292010421189752
Heart disease,Attribution Gini spread,0.03333333333333333,0.04761904761904761,0.391240950331045,0.20030512265891276,0.08292010421189752
Heart disease,Low confidence,0.11666666666666665,0.0890870806374748,0.6916493994969574,0.130024179682324,0.08292010421189752
Blood transfusion,SEF conflict,0.24369371598473766,0.07770698178399553,0.570603884968292,0.06011400435498017,0.6028656879643856
Blood transfusion,Attribution entropy,0.23398692810457514,0.06535085051493468,0.579855538937155,0.05705919439669663,0.6028656879643856
Blood transfusion,Attribution Gini spread,0.23808319819155732,0.06837690272784544,0.5895270599043884,0.056098637050765725,0.6028656879643856
Blood transfusion,Low confidence,0.3289236594159195,0.07829209662672246,0.6640658464063837,0.06143456696856899,0.6028656879643856
