dataset,domain,n,p_raw,high_confidence_errors,base_conditional_auc,augmented_conditional_auc,delta_conditional_auc,conflict_error_gap,diagnostic_eligible_rate,diagnostic_pass_rate,median_monotone_p,conflict_error_auc,entropy_error_auc,gini_error_auc,low_confidence_error_auc,conflict_top_quartile_error,entropy_top_quartile_error,gini_top_quartile_error,low_confidence_top_quartile_error,sef_entropy_spearman,rows_per_second,delta_sign_flip_p
Adult income,Socioeconomic,48842,14,382.1,0.782760903242038,0.8389588469208528,0.05619794367881492,-0.0022461394478240524,1.0,0.0,0.972,0.47149685006040026,0.38459078008357606,0.3518809632711753,0.7722866540989713,0.02798315395414132,0.02105755732335049,0.019513336452971455,0.10968647636874122,0.44137682139467316,75832.68244915933,0.0007
Spambase,Communication,4601,57,12.4,0.5474088034851146,0.5182362241199463,-0.029172579365168243,0.0030609505865950683,0.0,,0.32,0.5515621688699499,0.4142750255379039,0.38983725978328865,0.6310842610101727,0.009405940594059406,0.008415841584158416,0.007420865239233283,0.023267326732673267,0.29415071741921117,108300.2429154994,0.9979
Phoneme,Speech,5404,5,163.2,0.7403415745444588,0.7537951168318568,0.013453542287398012,0.0021097046413502104,1.0,0.0,0.78,0.48863517053256267,0.6782859491878328,0.653276843389244,0.6851339701921747,0.13459915611814346,0.3,0.2936708860759494,0.2928270042194093,-0.10077087696268812,251991.3891007915,0.0007
Mammography,Healthcare,11183,6,42.2,0.793564087878871,0.8590110531639426,0.06544696528507142,-0.06251856931611095,1.0,0.0,1.0,0.13543276476821203,0.1932644848614699,0.20184268945444267,0.28377177218267235,0.0030087090301677165,0.0037070753961208945,0.0037089763982014815,0.002834521185518073,0.8048743227677896,539798.9369655149,0.0007
Credit approval,Credit,690,15,4.5,0.5697927259530231,0.594008249242518,0.024215523289495007,0.016129032258064516,0.0,,0.346,0.5595802015246564,0.5834191881543046,0.5471600649583481,0.571071413695682,0.03870967741935484,0.03870967741935484,0.04193548387096774,0.058064516129032254,0.27225240482319457,11538.19822605143,0.2345
QSAR biodeg.,Chemistry,1055,41,8.9,0.6093739856033509,0.6148761376401454,0.005502152036794545,0.03404255319148936,0.0,,0.263,0.5571160501918978,0.5695106756880647,0.5754596670527733,0.7247496220197054,0.055319148936170216,0.06170212765957447,0.06808510638297872,0.10212765957446808,-0.074717802681872,44615.58319154771,0.402
PC1 defects,Software,1109,21,26.2,0.6575753594843049,0.6924107710727629,0.03483541158845797,-0.19591836734693877,1.0,0.0,0.999,0.32158989409164984,0.2952058726456839,0.31531526126024734,0.4868736068436534,0.030612244897959183,0.04477551020408163,0.05306122448979592,0.1383265306122449,0.18232480125932102,51250.260382528635,0.036
KC1 defects,Software,2109,21,43.3,0.7271024454900095,0.7284269185699934,0.001324473079983901,-0.011872112055933855,1.0,0.0,0.585,0.47824258851433343,0.23502831873499205,0.24948877548897347,0.5921623737587105,0.14828562407323148,0.04113719998292555,0.042215089885752746,0.20892323044280184,0.04072016033350419,106703.40260821632,0.4285
Electricity,Market,45312,8,1039.9,0.6509766981010904,0.6507751715310233,-0.00020152657006706766,0.08265254664649521,1.0,1.0,0.002,0.582176840425064,0.5966840440555309,0.5773017023894973,0.6476660569247057,0.16686838124054465,0.18240040342914776,0.16575895108421584,0.20337871911245586,0.0791685656196002,401655.3482029907,0.7706
Magic telescope,Physics,19020,10,414.4,0.5855467890064724,0.7300225637052081,0.14447577469873568,0.22881152460984394,1.0,1.0,0.002,0.7215955604929435,0.44532458776186895,0.47769549206964346,0.5683558865196388,0.29675870348139255,0.0715486194477791,0.10204081632653061,0.15138055222088836,0.28592881545275145,521832.33838790254,0.0007
