dataset,openml_name,openml_version,seed,n,p_raw,test_error,auc,high_confidence_error,high_confidence_low_conflict_error,high_confidence_high_conflict_error,gap,mean_conflict
Diabetes,diabetes,1,0,768,8,0.2527881040892193,0.8394528875379939,0.1259259259259259,0.0,0.17647058823529413,0.17647058823529413,0.47543501872536637
Diabetes,diabetes,1,1,768,8,0.2379182156133829,0.8347112462006079,0.13333333333333333,0.08823529411764706,0.17647058823529413,0.08823529411764706,0.48887072483264377
Diabetes,diabetes,1,2,768,8,0.21933085501858737,0.8172644376899697,0.11851851851851852,0.08823529411764706,0.11764705882352941,0.029411764705882346,0.5116523452125796
Diabetes,diabetes,1,3,768,8,0.2342007434944238,0.8506990881458967,0.0962962962962963,0.058823529411764705,0.08823529411764706,0.02941176470588236,0.4738262874767808
Diabetes,diabetes,1,4,768,8,0.3048327137546468,0.7880243161094226,0.16296296296296298,0.08823529411764706,0.17647058823529413,0.08823529411764706,0.501130418124062
Diabetes,diabetes,1,5,768,8,0.25650557620817843,0.8161094224924013,0.14074074074074075,0.029411764705882353,0.23529411764705882,0.20588235294117646,0.5268424418737467
Diabetes,diabetes,1,6,768,8,0.22676579925650558,0.8536778115501521,0.07407407407407407,0.029411764705882353,0.08823529411764706,0.05882352941176471,0.5218513360890012
Diabetes,diabetes,1,7,768,8,0.241635687732342,0.8099696048632219,0.14814814814814814,0.08823529411764706,0.20588235294117646,0.1176470588235294,0.45879697736094666
Diabetes,diabetes,1,8,768,8,0.2825278810408922,0.7648024316109422,0.21481481481481482,0.11764705882352941,0.20588235294117646,0.08823529411764705,0.49524553627453877
Diabetes,diabetes,1,9,768,8,0.2527881040892193,0.8533130699088146,0.0962962962962963,0.0,0.20588235294117646,0.20588235294117646,0.47931594463639376
Diabetes,diabetes,1,10,768,8,0.25650557620817843,0.8368389057750759,0.1037037037037037,0.029411764705882353,0.08823529411764706,0.05882352941176471,0.511112037198463
Diabetes,diabetes,1,11,768,8,0.24907063197026022,0.8515501519756838,0.0962962962962963,0.058823529411764705,0.17647058823529413,0.11764705882352942,0.4480069098249364
Diabetes,diabetes,1,12,768,8,0.2342007434944238,0.854468085106383,0.1259259259259259,0.08823529411764706,0.14705882352941177,0.058823529411764705,0.48410456946499897
Diabetes,diabetes,1,13,768,8,0.2527881040892193,0.8377507598784195,0.11851851851851852,0.029411764705882353,0.17647058823529413,0.14705882352941177,0.5014518140919247
Diabetes,diabetes,1,14,768,8,0.24535315985130113,0.8400607902735563,0.1037037037037037,0.058823529411764705,0.14705882352941177,0.08823529411764706,0.5089280288328083
Diabetes,diabetes,1,15,768,8,0.241635687732342,0.8341641337386019,0.1037037037037037,0.029411764705882353,0.11764705882352941,0.08823529411764705,0.5082772145909291
Diabetes,diabetes,1,16,768,8,0.241635687732342,0.8147720364741642,0.13333333333333333,0.029411764705882353,0.20588235294117646,0.1764705882352941,0.5444615772275864
Diabetes,diabetes,1,17,768,8,0.2527881040892193,0.8265045592705168,0.14074074074074075,0.058823529411764705,0.20588235294117646,0.14705882352941174,0.4922000771087569
Diabetes,diabetes,1,18,768,8,0.25650557620817843,0.8330699088145898,0.11851851851851852,0.029411764705882353,0.17647058823529413,0.14705882352941177,0.5426349495318818
Diabetes,diabetes,1,19,768,8,0.24535315985130113,0.830516717325228,0.11851851851851852,0.058823529411764705,0.17647058823529413,0.11764705882352942,0.498308482128696
Diabetes,diabetes,1,20,768,8,0.20817843866171004,0.8675987841945288,0.0962962962962963,0.029411764705882353,0.14705882352941177,0.11764705882352941,0.4942979863459759
Diabetes,diabetes,1,21,768,8,0.241635687732342,0.824741641337386,0.13333333333333333,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.5223601670288316
Diabetes,diabetes,1,22,768,8,0.22676579925650558,0.8539209726443769,0.0962962962962963,0.11764705882352941,0.14705882352941177,0.02941176470588236,0.4440473515253209
Diabetes,diabetes,1,23,768,8,0.22676579925650558,0.8598176291793314,0.1037037037037037,0.0,0.17647058823529413,0.17647058823529413,0.5004779280131518
Diabetes,diabetes,1,24,768,8,0.24535315985130113,0.8310030395136778,0.1259259259259259,0.029411764705882353,0.29411764705882354,0.2647058823529412,0.5193895780130607
Diabetes,diabetes,1,25,768,8,0.26394052044609667,0.8136170212765957,0.14814814814814814,0.11764705882352941,0.23529411764705882,0.11764705882352941,0.45242325862265537
Diabetes,diabetes,1,26,768,8,0.26765799256505574,0.8150759878419452,0.17777777777777778,0.058823529411764705,0.2647058823529412,0.20588235294117646,0.4724372103227568
Diabetes,diabetes,1,27,768,8,0.2379182156133829,0.8487537993920973,0.1259259259259259,0.08823529411764706,0.14705882352941177,0.058823529411764705,0.4466638652079589
Diabetes,diabetes,1,28,768,8,0.25650557620817843,0.827355623100304,0.14814814814814814,0.029411764705882353,0.20588235294117646,0.1764705882352941,0.4926430974025082
Diabetes,diabetes,1,29,768,8,0.21933085501858737,0.8328267477203648,0.1111111111111111,0.0,0.17647058823529413,0.17647058823529413,0.49135921703745156
Diabetes,diabetes,1,30,768,8,0.2527881040892193,0.844741641337386,0.11851851851851852,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.5111470294261296
Diabetes,diabetes,1,31,768,8,0.25650557620817843,0.8178115501519757,0.15555555555555556,0.029411764705882353,0.29411764705882354,0.2647058823529412,0.48472984957589155
Diabetes,diabetes,1,32,768,8,0.2527881040892193,0.8432826747720364,0.08888888888888889,0.0,0.17647058823529413,0.17647058823529413,0.5028572146410277
Diabetes,diabetes,1,33,768,8,0.2342007434944238,0.8291185410334346,0.1111111111111111,0.058823529411764705,0.14705882352941177,0.08823529411764706,0.5080465563838342
Diabetes,diabetes,1,34,768,8,0.24535315985130113,0.8330091185410334,0.1111111111111111,0.058823529411764705,0.20588235294117646,0.14705882352941174,0.47815997616125905
Diabetes,diabetes,1,35,768,8,0.2379182156133829,0.835015197568389,0.13333333333333333,0.11764705882352941,0.14705882352941177,0.02941176470588236,0.4933622196625776
Diabetes,diabetes,1,36,768,8,0.26022304832713755,0.8307598784194528,0.14074074074074075,0.08823529411764706,0.17647058823529413,0.08823529411764706,0.5177251379830548
Diabetes,diabetes,1,37,768,8,0.25650557620817843,0.8246200607902736,0.14814814814814814,0.058823529411764705,0.23529411764705882,0.1764705882352941,0.48828160342177557
Diabetes,diabetes,1,38,768,8,0.24535315985130113,0.818966565349544,0.14074074074074075,0.0,0.20588235294117646,0.20588235294117646,0.4715961771640814
Diabetes,diabetes,1,39,768,8,0.275092936802974,0.8255927051671732,0.1111111111111111,0.058823529411764705,0.17647058823529413,0.11764705882352942,0.497089067521428
Diabetes,diabetes,1,40,768,8,0.2788104089219331,0.8214589665653496,0.1259259259259259,0.029411764705882353,0.17647058823529413,0.14705882352941177,0.4852864333946675
Diabetes,diabetes,1,41,768,8,0.275092936802974,0.7748328267477202,0.17037037037037037,0.029411764705882353,0.2647058823529412,0.23529411764705882,0.518054208750262
Diabetes,diabetes,1,42,768,8,0.24907063197026022,0.8312462006079028,0.1111111111111111,0.029411764705882353,0.20588235294117646,0.1764705882352941,0.46520632945783896
Diabetes,diabetes,1,43,768,8,0.2342007434944238,0.845531914893617,0.1259259259259259,0.0,0.20588235294117646,0.20588235294117646,0.4835019474855103
Diabetes,diabetes,1,44,768,8,0.2527881040892193,0.8121580547112461,0.1259259259259259,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.4651976205076022
Diabetes,diabetes,1,45,768,8,0.23048327137546468,0.8555015197568389,0.1111111111111111,0.0,0.11764705882352941,0.11764705882352941,0.4993064506917374
Diabetes,diabetes,1,46,768,8,0.2342007434944238,0.8534954407294832,0.1037037037037037,0.058823529411764705,0.17647058823529413,0.11764705882352942,0.4853805341185303
Diabetes,diabetes,1,47,768,8,0.2527881040892193,0.825775075987842,0.13333333333333333,0.058823529411764705,0.17647058823529413,0.11764705882352942,0.4558535396815505
Diabetes,diabetes,1,48,768,8,0.241635687732342,0.8373252279635259,0.1259259259259259,0.058823529411764705,0.14705882352941177,0.08823529411764706,0.5096499315900509
