dataset,model,seed,test_error,low_conflict_error,high_conflict_error,high_res_error,low_res_error,mean_conflict,mean_stability,mean_res,sef_triage_error_10,confidence_triage_error_10,sef_triage_error_20,confidence_triage_error_20,sef_triage_error_30,confidence_triage_error_30
Iris,Random forest,0.0,0.0,0.0,0.0,0.0,0.0,0.297741259640447,0.9936277360794782,0.6987562857520688,0.0,0.0,0.0,0.0,0.0,0.0
Iris,Gradient boosting,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.21134674548475108,0.9945139984485609,0.7849665608547853,0.0625,0.0,0.07142857142857142,0.0,0.08,0.0
Iris,Random forest,1.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.3104628519459826,0.9634912004393519,0.6749173027586597,0.0625,0.03125,0.07142857142857142,0.0,0.08,0.0
Iris,Gradient boosting,1.0,0.05714285714285714,0.0,0.2,0.0,0.2222222222222222,0.31897416482178653,0.9632928661411518,0.6703782569913432,0.03125,0.03125,0.03571428571428571,0.03571428571428571,0.0,0.0
Iris,Random forest,2.0,0.11428571428571428,0.07142857142857142,0.3333333333333333,0.0,0.3333333333333333,0.28593353019483986,0.9638011763339981,0.685618612015249,0.125,0.0625,0.07142857142857142,0.0,0.04,0.0
Iris,Gradient boosting,2.0,0.08571428571428572,0.07142857142857142,0.2222222222222222,0.0,0.2222222222222222,0.09637100875284614,0.9929347672740133,0.8984077589952223,0.09375,0.09375,0.07142857142857142,0.03571428571428571,0.04,0.04
Iris,Random forest,3.0,0.05714285714285714,0.0,0.2222222222222222,0.0,0.2222222222222222,0.20336107268088785,0.9865649091280042,0.7861896968016452,0.03125,0.03125,0.0,0.0,0.0,0.0
Iris,Gradient boosting,3.0,0.05714285714285714,0.0,0.1111111111111111,0.0,0.1,0.23495813908500435,0.9958040074939547,0.7621361675405754,0.0625,0.03125,0.03571428571428571,0.0,0.04,0.0
Iris,Random forest,4.0,0.05714285714285714,0.0,0.2222222222222222,0.0,0.2222222222222222,0.324560009935302,0.9818289516160273,0.6613684809707105,0.03125,0.03125,0.0,0.0,0.0,0.0
Iris,Gradient boosting,4.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.15739777566549795,0.992243338398972,0.8383232369266607,0.03125,0.03125,0.03571428571428571,0.03571428571428571,0.04,0.04
Iris,Random forest,5.0,0.05714285714285714,0.0,0.1111111111111111,0.0,0.1111111111111111,0.3192468644665369,0.9899295359952559,0.672645508703669,0.03125,0.03125,0.03571428571428571,0.03571428571428571,0.04,0.04
Iris,Gradient boosting,5.0,0.05714285714285714,0.0,0.14285714285714285,0.0,0.14285714285714285,0.19055617860027277,0.9932081679086161,0.80511147275266,0.03125,0.03125,0.0,0.0,0.0,0.0
Iris,Random forest,6.0,0.05714285714285714,0.0,0.1111111111111111,0.0,0.1111111111111111,0.19639662876013853,0.9758795731454738,0.7827434910884968,0.03125,0.0625,0.03571428571428571,0.03571428571428571,0.04,0.04
Iris,Gradient boosting,6.0,0.08571428571428572,0.0,0.2222222222222222,0.0,0.2222222222222222,0.2576156178154664,0.9630349883125179,0.7146346612119111,0.0625,0.0625,0.03571428571428571,0.07142857142857142,0.04,0.04
Iris,Random forest,7.0,0.02857142857142857,0.0,0.1111111111111111,0.0,0.1111111111111111,0.43209151487047953,0.993744602322478,0.56312136858744,0.03125,0.03125,0.03571428571428571,0.0,0.0,0.0
Iris,Gradient boosting,7.0,0.11428571428571428,0.0,0.3,0.0,0.3,0.3544334226202934,0.9990197088478642,0.6451866246074279,0.03125,0.09375,0.03571428571428571,0.07142857142857142,0.04,0.04
Iris,Random forest,8.0,0.08571428571428572,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2628184289577822,0.978993135361948,0.7218060341533598,0.0625,0.0625,0.07142857142857142,0.0,0.04,0.0
Iris,Gradient boosting,8.0,0.08571428571428572,0.1111111111111111,0.15384615384615385,0.047619047619047616,0.15384615384615385,0.08159308725470941,0.992748305212267,0.9140842794787182,0.03125,0.03125,0.03571428571428571,0.03571428571428571,0.04,0.04
Iris,Random forest,9.0,0.05714285714285714,0.1111111111111111,0.0,0.1111111111111111,0.0,0.39079006465740407,0.9923323401738002,0.602661475901435,0.0625,0.0625,0.07142857142857142,0.03571428571428571,0.04,0.0
Iris,Gradient boosting,9.0,0.08571428571428572,0.0,0.13333333333333333,0.0,0.13333333333333333,0.3260442548144135,0.988147964258369,0.6671705972736739,0.0625,0.09375,0.07142857142857142,0.03571428571428571,0.04,0.0
Iris,Random forest,10.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.3225489200612866,0.967956272498339,0.6596715236422732,0.0625,0.03125,0.07142857142857142,0.0,0.08,0.0
Iris,Gradient boosting,10.0,0.08571428571428572,0.0,0.15384615384615385,0.1,0.15384615384615385,0.10846363381959197,0.9854143840881944,0.878372942092922,0.0625,0.0625,0.03571428571428571,0.03571428571428571,0.04,0.04
Iris,Random forest,11.0,0.11428571428571428,0.0,0.4444444444444444,0.0,0.4444444444444444,0.26427691088566707,0.984249792194633,0.7215245990251201,0.0625,0.03125,0.0,0.0,0.0,0.0
Iris,Gradient boosting,11.0,0.08571428571428572,0.0,0.21428571428571427,0.0,0.21428571428571427,0.15134070317661966,0.9999999999998784,0.8486592968232771,0.0625,0.0625,0.0,0.03571428571428571,0.0,0.04
Iris,Random forest,12.0,0.14285714285714285,0.0625,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.27021964683208854,0.9764650106619203,0.7137252189904488,0.15625,0.0625,0.14285714285714285,0.03571428571428571,0.08,0.04
Iris,Gradient boosting,12.0,0.11428571428571428,0.0,0.25,0.0,0.25,0.11837474990093241,0.9939041593558691,0.8766571284929959,0.09375,0.0625,0.03571428571428571,0.03571428571428571,0.04,0.04
Iris,Random forest,13.0,0.02857142857142857,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1841647845434795,0.9805617968085624,0.8008282522639084,0.0,0.0,0.0,0.0,0.0,0.0
Iris,Gradient boosting,13.0,0.02857142857142857,0.0,0.07692307692307693,0.0,0.09090909090909091,0.14583085471294005,0.9888351921302806,0.8440348413828552,0.03125,0.0,0.0,0.0,0.0,0.0
