dataset,domain,seed,n,p_raw,categorical_share,minority_share,test_error,brier,high_confidence_n,high_confidence_errors,base_conditional_auc,augmented_conditional_auc,delta_conditional_auc,conflict_error_auc,entropy_error_auc,low_confidence_error_auc,mass_error_auc,monotone_statistic,monotone_p_value,conflict_error_gap,diagnostic_eligible,diagnostic_pass,attribution_seconds,sef_seconds,rows_per_second
Diabetes,Healthcare,0,768,8,0.0,0.3489583333333333,0.2527881040892193,0.16296009158506705,135,17,0.6839481555333998,0.6969092721834497,0.012961116650049842,0.6764705882352942,0.6530408773678963,0.6704885343968096,0.5603190428713859,0.06728809965816653,0.022,0.17647058823529413,0.0,,0.01356699998723343,0.0006151000270619988,18967.571779133585
Diabetes,Healthcare,1,768,8,0.0,0.3489583333333333,0.2379182156133829,0.16396155229852546,135,18,0.6263057929724596,0.5802469135802468,-0.04605887939221276,0.5781101614434948,0.5712250712250713,0.6452991452991453,0.5365622032288699,0.031268438897066965,0.158,0.08823529411764706,0.0,,0.017175799992401153,0.00013080000644549727,15543.203172080406
Diabetes,Healthcare,2,768,8,0.0,0.3489583333333333,0.21933085501858737,0.16427614181310973,135,16,0.3697478991596639,0.39915966386554624,0.02941176470588236,0.5898109243697479,0.592436974789916,0.5262605042016807,0.5110294117647058,0.03250361319840066,0.154,0.029411764705882346,0.0,,0.013902999984566122,0.00022789998911321163,19036.296378931846
Diabetes,Healthcare,3,768,8,0.0,0.3489583333333333,0.2342007434944238,0.1559838125892821,135,13,0.44136191677175285,0.49747793190416145,0.0561160151324086,0.6128625472887768,0.48612862547288777,0.5863808322824716,0.6708701134930642,0.034024250073179635,0.11,0.02941176470588236,0.0,,0.012681799998972565,0.00017670000670477748,20920.01398928568
Diabetes,Healthcare,4,768,8,0.0,0.3489583333333333,0.3048327137546468,0.1992370068265004,135,22,0.45615446500402257,0.47184231697506035,0.01568785197103778,0.5703942075623492,0.48632341110217214,0.41069991954947704,0.7284794851166533,0.033263891073952376,0.158,0.08823529411764706,1.0,0.0,0.013662499957717955,8.810003055259585e-05,19562.782731623396
Diabetes,Healthcare,5,768,8,0.0,0.3489583333333333,0.25650557620817843,0.17142676973336607,135,19,0.604355716878403,0.6243194192377495,0.019963702359346525,0.676043557168784,0.6492740471869328,0.6647005444646097,0.5712341197822141,0.07375079849539155,0.002,0.20588235294117646,0.0,,0.016031700011808425,8.369999704882503e-05,16692.108160650918
Diabetes,Healthcare,6,768,8,0.0,0.3489583333333333,0.22676579925650558,0.15188163086673506,135,10,0.23920000000000002,0.3535999999999999,0.11439999999999989,0.6088,0.5416,0.4824,0.6776,0.025850795348900134,0.116,0.05882352941176471,0.0,,0.014447900000959635,0.0002117999829351902,18349.625183020384
Diabetes,Healthcare,7,768,8,0.0,0.3489583333333333,0.241635687732342,0.17412234302081658,135,20,0.5273913043478261,0.5273913043478261,0.0,0.6184782608695651,0.4965217391304348,0.62,0.5104347826086957,0.05179884114422752,0.054,0.1176470588235294,1.0,0.0,0.010101400024723262,0.00018370000179857016,26154.339705626488
Diabetes,Healthcare,8,768,8,0.0,0.3489583333333333,0.2825278810408922,0.20764118075834237,135,29,0.4638906961613533,0.5152895250487963,0.051398828887443015,0.5849056603773586,0.48243331164606384,0.4690956408588159,0.6701366297983085,0.04961071754458039,0.074,0.08823529411764705,1.0,0.0,0.015113400004338473,0.00025560002541169524,17502.765272905835
Diabetes,Healthcare,9,768,8,0.0,0.3489583333333333,0.2527881040892193,0.15787746337302686,135,13,0.4943253467843632,0.4728877679697352,-0.02143757881462799,0.7118537200504413,0.5958385876418664,0.6292559899117277,0.6860025220680959,0.06386667086198856,0.008,0.20588235294117646,0.0,,0.014182999962940812,0.00011419999646022916,18814.872895662385
