dataset,seed,method,review_rate,accepted_fraction,accepted_error
Iris: versicolor vs virginica,0.0,SEF,0.0,1.0,0.0
Iris: versicolor vs virginica,0.0,confidence,0.0,1.0,0.0
Iris: versicolor vs virginica,0.0,confidence+SEF,0.0,1.0,0.0
Iris: versicolor vs virginica,0.0,learned reject,0.0,1.0,0.0
Iris: versicolor vs virginica,0.0,SEF,0.05,0.95,0.0
Iris: versicolor vs virginica,0.0,confidence,0.05,0.95,0.0
Iris: versicolor vs virginica,0.0,confidence+SEF,0.05,0.95,0.0
Iris: versicolor vs virginica,0.0,learned reject,0.05,0.95,0.0
Iris: versicolor vs virginica,0.0,SEF,0.1,0.9,0.0
Iris: versicolor vs virginica,0.0,confidence,0.1,0.9,0.0
Iris: versicolor vs virginica,0.0,confidence+SEF,0.1,0.9,0.0
Iris: versicolor vs virginica,0.0,learned reject,0.1,0.9,0.0
Iris: versicolor vs virginica,0.0,SEF,0.2,0.8,0.0
Iris: versicolor vs virginica,0.0,confidence,0.2,0.8,0.0
Iris: versicolor vs virginica,0.0,confidence+SEF,0.2,0.8,0.0
Iris: versicolor vs virginica,0.0,learned reject,0.2,0.8,0.0
Iris: versicolor vs virginica,0.0,SEF,0.3,0.7,0.0
Iris: versicolor vs virginica,0.0,confidence,0.3,0.7,0.0
Iris: versicolor vs virginica,0.0,confidence+SEF,0.3,0.7,0.0
Iris: versicolor vs virginica,0.0,learned reject,0.3,0.7,0.0
Iris: versicolor vs virginica,0.0,SEF,0.4,0.6,0.0
Iris: versicolor vs virginica,0.0,confidence,0.4,0.6,0.0
Iris: versicolor vs virginica,0.0,confidence+SEF,0.4,0.6,0.0
Iris: versicolor vs virginica,0.0,learned reject,0.4,0.6,0.0
Iris: versicolor vs virginica,1.0,SEF,0.0,1.0,0.02857142857142857
Iris: versicolor vs virginica,1.0,confidence,0.0,1.0,0.02857142857142857
Iris: versicolor vs virginica,1.0,confidence+SEF,0.0,1.0,0.02857142857142857
Iris: versicolor vs virginica,1.0,learned reject,0.0,1.0,0.02857142857142857
Iris: versicolor vs virginica,1.0,SEF,0.05,0.95,0.029411764705882353
Iris: versicolor vs virginica,1.0,confidence,0.05,0.95,0.0
Iris: versicolor vs virginica,1.0,confidence+SEF,0.05,0.95,0.029411764705882353
Iris: versicolor vs virginica,1.0,learned reject,0.05,0.95,0.0
Iris: versicolor vs virginica,1.0,SEF,0.1,0.9,0.0
Iris: versicolor vs virginica,1.0,confidence,0.1,0.9,0.0
Iris: versicolor vs virginica,1.0,confidence+SEF,0.1,0.9,0.0
Iris: versicolor vs virginica,1.0,learned reject,0.1,0.9,0.0
Iris: versicolor vs virginica,1.0,SEF,0.2,0.8,0.0
Iris: versicolor vs virginica,1.0,confidence,0.2,0.8,0.0
